"code","city_code","city_name","pm25_2000","pm25_2005","pm25_2010","pm25_2011","pm25_2012","pm25_2013","pm25_2014","pm25_2015","pm25_2016"
"AT001",2,"Wien",16.9,17.3,16.9,17.1,15.8,15.6,14.7,14.9,13.8
"AT002",1,"Graz",19.9,20.2,19.3,20.2,18.4,18.1,17.2,17.8,16.7
"BE005",5,"Liege",14.3,14,14.5,14.2,13.3,12.8,12,12.4,11.6
"BE001",4,"Brussel",17.3,16.9,17.6,17.4,16.2,15.5,14.6,14.9,14.2
"BE002",3,"Antwerpen",17.4,16.9,17.5,17.3,16.2,15.3,14.6,14.9,14.1
"CH001",83,"Zurich",13.6,13.6,13.7,13.9,13,12.6,12.1,11.8,10.8
"CH002",82,"Geneva",15.3,15.3,15.4,15.6,14.8,14.2,13.5,13.4,12.5
"CZ003",10,"Ostrava",33.9,34.7,34.8,33.9,31.4,30.4,28.8,29.6,27.1
"CZ001",11,"Praha",18.2,18,18.5,17.9,16.6,16.2,15.8,15.6,14.4
"DE008",17,"Leipzig",17.2,16.5,17.6,16.8,15.5,15,14.6,14.6,13.5
"DE003",18,"Munchen",15.1,15,15,15.1,14,13.8,13.2,13.3,12.2
"DE043",15,"Rostock",14.8,14.4,14.8,15.3,13.6,12.9,13.1,13,12.1
"DE002",16,"Hamburg",14.2,13.8,14.2,14.4,13,12.3,12.6,12.2,11.6
"DE001",12,"Berlin",18.6,18.1,19.3,18.8,17,16.1,16.1,15.9,14.9
"DK004",19,"Aalborg",12,11.8,11.4,12.4,10.9,10.4,10.5,10.2,9.9
"DK001",20,"Kobenhavn",12.6,12.3,12.6,13.2,11.5,11.2,11.7,11.1,10.5
"ES006",24,"Malaga",14,13.8,13.6,14,13.1,12.9,12,12.6,11.6
"ES013",25,"Oviedo",12.9,13,12.6,13.4,12.4,11.7,11,11.1,10.2
"ES002",22,"Barcelona",15.2,15.1,15,15.7,14.7,13.7,12.7,13.4,12.3
